,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
94,Wede Harer Guzo,Hailu Mergia & Dahlak Bandኃይሉ መርጊያ [Hailu Mergia]ዳህካክ ባኀድ [Dahlak Band],0.40960002,0.59749997,4.5,-10.6922,0.5,0.03884,0.1143896,0.198131,0.21865001,0.7480999,117.9047,371345.5,3.6,spotify:album:5i6yMY4F7UoOuJD6wRV6NN
95,Mythical & Magical,Pagan Altar,0.3125,0.6888333,4.0833335,-5.183167,0.5833333,0.045083333,0.18075757,0.7830834,0.24384166,0.35671666,122.020996,325339.75,3.75,spotify:album:0qxkpyoko5ikYPPJ3lni5n
96,Africa Express Presents... Terry Riley's In C Mali,Africa Express,0.618,0.641,0.0,-9.644,1.0,0.0304,0.852,0.746,0.0767,0.161,127.984,2445491.0,4.0,spotify:album:6jxiWDWZNGnk9rSoMlqdKB
97,Tokyo Tales,Blind Guardian,0.24623078,0.91223073,5.8461537,-6.7289996,0.7692308,0.102592304,0.033857603,0.6246615,0.869,0.11235385,133.209,332996.0,3.9230769,spotify:album:6e1Pj7h8mjxpx0DyaEXzkh
98,El silencio,Caifanes,0.6279286,0.71999997,6.214286,-9.628928,0.5714286,0.043107145,0.31337357,0.038102962,0.13736428,0.60414284,127.51449,248917.22,4.0,spotify:album:1WrK98KVZxkTgMD3a9Kpnl
99,Pres and Teddy,The Lester Young - Teddy Wilson QuartetLester YoungTeddy Wilson,0.68466663,0.86316675,6.3333335,-6.6306667,0.6666667,0.055666674,0.00012512667,0.86616665,0.17371666,0.42406666,128.6185,227635.33,4.0,spotify:album:5flbMTAF8j2P8utZ8nzwbG
100,BlackBolshevik,Ghais Guevara,0.587125,0.651125,3.75,-11.995251,1.0,0.2511875,0.22680001,1.4575e-06,0.253125,0.4595,119.96,169938.25,4.0,spotify:album:5IZWjMcN2qeNGqoTdMOQ5n
101,Halo,Martin O'Donnell & Michael Salvatori,0.28978127,0.26517498,5.15625,-19.029968,0.6875,0.048418753,0.5718852,0.8424691,0.12733439,0.09086875,109.98279,223018.75,3.8125,spotify:album:57qGJCHgxpUYtDrfCXRsOV
102,Cello Concerto; Sea Pictures,London Symphony Orchestra / John Barbirolli / Jacqueline du Pré / Janet Baker,0.2407,0.15444998,4.0,-19.0968,0.5,0.044900004,0.96999997,0.3505005,0.13174999,0.06789,100.685005,411822.7,3.6,spotify:album:0b40AMmZPt7sjgw17WGk1s
103,Millions Now Living Will Never Die,Tortoise,0.4275,0.32928333,4.6666665,-16.775335,0.8333333,0.06661666,0.50623333,0.8456667,0.10995,0.16976666,140.72316,430038.0,3.5,spotify:album:3X20tXW0zsl5imVzETPhQh
104,Loud City Song,Julia Holter,0.37244445,0.35926664,6.7777777,-12.208333,0.6666667,0.04475556,0.39141113,0.15494823,0.12972222,0.17782222,116.43267,298389.66,3.8888888,spotify:album:3JhMmVL9ISUnRaVbrJ72OB
105,Avalon,Roxy Music,0.68520004,0.58650005,5.7,-9.4366,0.8,0.03358,0.45309,0.38171095,0.1051,0.65692997,111.7224,225155.7,4.0,spotify:album:3JXODSjT9mUz2lIb4YIErw
106,Being There,Wilco,0.5113158,0.61489475,4.8421054,-8.305158,1.0,0.042726316,0.40800524,0.1354419,0.1311579,0.47584212,124.99947,243390.84,3.8947368,spotify:album:4gy64TkuOWP2Uuu1DuDeZK
107,Lady in Satin,Billie Holiday & Ray Ellis and His OrchestraBillie HolidayRay Ellis,0.27499998,0.22362499,7.375,-17.024063,0.5,0.0398625,0.6886875,0.0005295719,0.29940626,0.27438748,105.622375,245244.06,3.4375,spotify:album:4LrLP7DM1KBj8r2Sc098JA
108,World Extermination,Insect Warfare,0.21255,0.98365,3.2,-4.9327497,0.8,0.143415,9.19825e-05,0.05482465,0.26646,0.03405,123.89036,67840.05,3.6,spotify:album:6hfj38XYUJU7zR2qSYe13L
109,Aus den sieben Tagen,Karlheinz Stockhausen / Aloys Kontarsky / Harald Bojé / Johannes Fritsch / Alfred Alings / Rolf Gehlhaar / J.F. Jenny Clark / Jean-Pierre Drouet / Carlos Roqué Alsina / Michel Portal,0.4155,0.113,7.0,-20.764,0.5,0.1558,0.7135,0.17923999,0.1645,0.07595,103.5215,1388767.0,3.5,spotify:album:6ScZITV2bB7KquzKy6Qp8J
110,Mestarin kynsi,Oranssi Pazuzu,0.26983333,0.78449994,4.3333335,-8.108334,0.6666667,0.06526666,0.0015261417,0.88299996,0.18895,0.09073333,130.04066,502342.16,3.3333333,spotify:album:0gsk1RGjMrtEDE05s0TZMf
111,"Reading, Writing and Arithmetic",The Sundays,0.54179996,0.5257,4.4,-10.0767,0.8,0.03263,0.4282,0.02345714,0.123679996,0.59879994,116.22679,230537.4,4.0,spotify:album:4bofszhtDfGY6smHBGeyTT
112,New York,Lou Reed,0.5367857,0.5492143,6.071429,-15.110213,0.85714287,0.05950714,0.2718857,0.11651893,0.21407856,0.6200714,122.9795,243964.72,3.7857144,spotify:album:7xGqf9DddW89cg7m6zX88t
