,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
95,Wiosna Ludu,Kapela ze Wsi Warszawa,0.37173334,0.63119996,7.0,-6.977934,0.53333336,0.06876,0.18468802,0.09467245,0.12644666,0.35771334,107.07866,258308.47,3.8,spotify:album:3NzUjnpmBpzkVSuUek2BMB
96,Try!,John Mayer Trio,0.52263635,0.65354544,4.3636365,-8.5178175,0.72727275,0.047018174,0.2920399,0.045087274,0.6091818,0.48727277,116.581184,346083.53,3.6363637,spotify:album:0X9bvQYYtrAYdkO4OKtYwz
97,Clouds Taste Metallic,The Flaming Lips,0.32453844,0.6814616,6.230769,-9.629385,0.9230769,0.04126154,0.15331616,0.20155174,0.26135382,0.45446151,130.40407,220258.92,3.7692308,spotify:album:2L4xduAFQeVbHLRiKUH7rD
98,"Lifted or The Story Is in the Soil, Keep Your Ear to the Ground",Bright Eyes,0.3836923,0.56076926,3.3846154,-8.804846,0.7692308,0.07823077,0.31758615,0.0025116606,0.30886924,0.3429308,107.21745,339265.84,3.9230769,spotify:album:0qPgTNLl3ojenY9bE4nzqm
99,Starfish,The Church,0.4704,0.5562,6.3,-13.841901,0.4,0.032490004,0.021462,0.032583,0.17266999,0.4716,122.67079,275703.9,3.9,spotify:album:3gz1CZk5wFg2inBuUWDa8x
100,I Should Coco,Supergrass,0.36215383,0.7841539,4.5384617,-7.7445383,0.7692308,0.07933077,0.053506676,0.3036165,0.19761539,0.47538465,148.00792,186508.69,3.9230769,spotify:album:3YfIjaJEWqiSbKPguS9Bxd
101,Eldorado,Electric Light Orchestra,0.343,0.43660003,5.3,-13.109799,0.6,0.034500003,0.6453,0.16163881,0.38599998,0.35641998,122.19501,235022.8,4.0,spotify:album:11O60gqbQl6f3EmTyZGaur
102,Spooky Two,Spooky Tooth,0.3779412,0.5766471,4.9411764,-11.27153,0.7058824,0.058411762,0.27271295,0.075604424,0.23578234,0.5981765,134.11176,255588.94,3.8823528,spotify:album:21cn3spYbbQ1aAuzNoeRRp
103,Pat Metheny Group,Pat Metheny Group,0.40533337,0.29447505,8.0,-21.780832,0.33333334,0.034583334,0.7608333,0.92216665,0.15703334,0.37185,94.88217,412400.0,3.8333333,spotify:album:4TC69U5HGclykFldzvsIao
104,Still Life (Talking),Pat Metheny Group,0.39485717,0.39294285,6.857143,-15.904857,0.5714286,0.0317,0.789,0.6777286,0.10234285,0.41445714,122.94685,363409.56,3.4285715,spotify:album:5YnUbwAzrorRuvSJ0sCj7n
105,Live the Dream,Ramshackle Glory,0.49190003,0.53970003,3.5,-8.5473,0.9,0.05424,0.33548,0.0,0.29659998,0.6222,119.832596,210797.3,3.7,spotify:album:217MWnvPkioCSCh1LO8YBr
106,Will of Gods Is a Great Power,Scald,0.25716668,0.7755,4.1666665,-6.587666,0.16666667,0.053150002,0.0031445466,0.121631674,0.27451667,0.33049998,96.60117,553671.0,4.0,spotify:album:33ADD53a2BoG60Cqx0UFyu
107,All We Got Iz Us,Onyx,0.6227333,0.6766667,5.4666667,-8.7096,0.53333336,0.29146665,0.051626667,0.08819321,0.34356,0.6072,118.39314,180732.6,4.0,spotify:album:2tIjXLaBInbrlYGFaPH3Us
108,"Italyan, Rum Casusu Çikti",Elio e le Storie Tese,0.5104166,0.66233337,6.75,-7.82025,0.9166667,0.24033333,0.26680002,1.0755e-05,0.29441667,0.4988333,127.57308,311400.1,4.0,spotify:album:2oEnE5RVhyAW3NN7vgyCrV
109,Befriended,The Innocence Mission,0.50289994,0.26922,5.9,-11.624201,0.9,0.03463,0.63909996,0.088661596,0.13932,0.31919998,113.375305,217175.9,4.1,spotify:album:4oefDjrZeVwu813zF7sRlX
110,Hypothetical,Threshold,0.38009092,0.8338182,4.4545455,-5.3431816,0.8181818,0.050354544,0.07109946,0.09863264,0.3015,0.2219091,129.05653,421436.47,3.7272727,spotify:album:0hTu1UaxBnVtU4Br5Hbz9i
